	activity	bonus_credit_eligibility	country	currency_exchange_loss_amount	delinquent	disbursal_amount	funded_amount	id	lender_count	loan_amount	loss_liability	paid_amount	repayment_term	sector	status	avg_invitee_count	avg_loan_count	country_count	fund_yr
6501	General Store	True	El Salvador	N/A	False	400.0	400	430496	16	400	lender	400.0	14.0	Retail	paid	N/A	N/A	N/A	2012.0
6502	Furniture Making	True	Cambodia	N/A	False	1500000.0	375	430701	15	375	lender	375.0	18.0	Manufacturing	paid	N/A	N/A	N/A	2012.0
6503	Animal Sales	True	Tajikistan	N/A	False	2900.0	1175	430779	16	2900	lender	N/A	20.0	Agriculture	expired	N/A	N/A	N/A	N/A
6504	Cafe	False	Senegal	N/A	False	450000.0	875	430794	26	875	lender	875.0	14.0	Food	paid	N/A	N/A	N/A	2012.0
6505	Cereals	True	Kenya	N/A	False	30000.0	375	430815	14	375	lender	375.0	8.0	Food	paid	N/A	N/A	N/A	2012.0
6506	Farming	True	Kenya	N/A	False	20000.0	250	430816	6	250	lender	250.0	8.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6507	Sewing	True	Peru	N/A	False	2000.0	750	430835	19	750	lender	750.0	20.0	Services	paid	N/A	N/A	N/A	2012.0
6508	General Store	True	Colombia	N/A	False	2000000.0	1100	430910	36	1100	lender	1100.0	14.0	Retail	paid	1.34375	877.96875	9.0	2012.0
6509	Cosmetics Sales	True	Jordan	N/A	False	500.0	725	430920	10	725	lender	725.0	18.0	Retail	paid	N/A	N/A	N/A	2012.0
6510	General Store	False	Nicaragua	N/A	True	15000.0	650	430959	18	650	lender	533.08	14.0	Retail	in_repayment	N/A	N/A	N/A	2012.0
6511	Retail	True	Tajikistan	N/A	False	10000.0	1050	431001	18	2100	lender	N/A	14.0	Retail	expired	N/A	N/A	N/A	N/A
6512	Farming	True	Cambodia	N/A	False	1500000.0	375	431002	13	375	lender	375.0	14.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6513	Carpentry	False	Kenya	N/A	False	73050.0	875	431020	22	875	lender	875.0	14.0	Construction	paid	N/A	N/A	N/A	2012.0
6514	Agriculture	False	Rwanda	N/A	False	1250000.0	2100	431053	81	2100	lender	2100.0	6.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6515	Dairy	True	Kyrgyzstan	N/A	False	50000.0	1075	431221	35	1075	lender	1075.0	10.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6516	Higher education costs	False	Kenya	N/A	False	991900.2	11675	431223	342	11675	lender	171.85	122.0	Education	in_repayment	N/A	N/A	N/A	2012.0
6517	Property	True	Uganda	N/A	False	700000.0	300	431392	9	300	lender	300.0	10.0	Housing	paid	N/A	N/A	N/A	2012.0
6518	Personal Housing Expenses	False	Costa Rica	N/A	False	300000.0	600	431433	19	600	lender	343.34	26.0	Housing	in_repayment	N/A	N/A	N/A	2012.0
6519	Grocery Store	True	Kenya	N/A	False	20000.0	250	431440	4	250	lender	250.0	12.0	Food	paid	N/A	N/A	N/A	2012.0
6520	Personal Housing Expenses	True	Cambodia	N/A	False	1000000.0	250	431580	10	250	lender	250.0	14.0	Housing	paid	N/A	N/A	N/A	2012.0
6521	Flowers	True	Philippines	N/A	False	8000.0	200	431612	8	200	lender	200.0	8.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6522	Cloth & Dressmaking Supplies	False	Senegal	N/A	False	250000.0	500	431880	18	500	lender	500.0	15.0	Retail	paid	N/A	N/A	N/A	2012.0
6523	Property	True	Kenya	N/A	False	40000.0	475	432004	16	475	lender	475.0	13.0	Housing	paid	N/A	N/A	N/A	2012.0
6524	General Store	True	Uganda	N/A	True	3000000.0	1225	432243	41	1225	lender	1157.62	14.0	Retail	in_repayment	N/A	N/A	N/A	2012.0
6525	Livestock	True	Kyrgyzstan	N/A	False	100000.0	1375	432335	26	2150	lender	N/A	14.0	Agriculture	expired	2.83333333333	5689.91666667	6.0	N/A
6526	Food Stall	False	Burkina Faso	N/A	False	450000.0	875	432476	30	875	lender	875.0	8.0	Food	paid	N/A	N/A	N/A	2012.0
6527	Food	True	Togo	N/A	False	200000.0	400	432559	15	400	lender	400.0	14.0	Food	paid	N/A	N/A	N/A	2012.0
6528	Retail	False	Senegal	N/A	False	100000.0	200	432654	8	200	lender	200.0	12.0	Retail	paid	N/A	N/A	N/A	2012.0
6529	Personal Housing Expenses	True	Peru	N/A	False	1000.0	350	432761	13	375	lender	N/A	14.0	Housing	expired	N/A	N/A	N/A	N/A
6530	General Store	True	Ecuador	N/A	False	848.52	300	433012	11	850	lender	N/A	14.0	Retail	expired	N/A	N/A	N/A	N/A
6531	Retail	True	Uganda	N/A	False	2000000.0	575	433061	18	825	lender	N/A	12.0	Retail	expired	N/A	N/A	N/A	N/A
6532	General Store	True	El Salvador	N/A	False	400.0	400	433154	16	400	lender	400.0	14.0	Retail	paid	1.26666666667	894.066666667	6.0	2012.0
6533	Retail	True	Colombia	N/A	False	2000000.0	700	433275	9	1100	lender	N/A	15.0	Retail	expired	3.42857142857	13749.5714286	2.0	N/A
6534	Farming	True	Kenya	N/A	True	40000.0	475	433456	18	475	lender	462.82	15.0	Agriculture	in_repayment	N/A	N/A	N/A	2012.0
6535	Clothing Sales	True	Philippines	N/A	False	15000.0	350	433519	12	350	lender	350.0	11.0	Clothing	paid	N/A	N/A	N/A	2012.0
6536	Agriculture	True	Philippines	N/A	False	37000.0	875	433550	32	875	lender	875.0	7.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6537	Livestock	True	Kenya	N/A	False	25000.0	300	433580	12	300	lender	300.0	13.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6538	Farming	True	Philippines	N/A	False	15000.0	350	433593	14	350	lender	350.0	8.0	Agriculture	paid	N/A	N/A	N/A	2012.0
6539	General Store	True	Philippines	N/A	False	20000.0	475	433807	18	475	lender	475.0	8.0	Retail	paid	N/A	N/A	N/A	2012.0
6540	Clothing Sales	True	Jordan	N/A	False	400.0	575	433930	15	575	lender	575.0	15.0	Clothing	paid	N/A	N/A	N/A	2012.0
6541	Clothing	True	Kenya	N/A	False	25000.0	300	433987	12	300	lender	300.0	13.0	Clothing	paid	N/A	N/A	N/A	2012.0
6542	Vehicle	False	Cambodia	N/A	False	1500.0	1500	433995	52	1500	lender	1190.0	26.0	Personal Use	in_repayment	N/A	N/A	N/A	2012.0
6543	Tailoring	True	Jordan	N/A	False	1000.0	1425	434006	46	1425	lender	1425.0	21.0	Services	paid	1.21951219512	2224.07317073	10.0	2012.0
6544	Poultry	True	Kenya	N/A	False	60000.0	400	434047	10	700	lender	N/A	20.0	Agriculture	expired	2.44444444444	2324.33333333	4.0	N/A
6545	Motorcycle Repair	True	Ecuador	N/A	False	1049.4	1050	434076	37	1050	lender	1050.0	14.0	Services	paid	0.857142857143	2924.05714286	7.0	2012.0
6546	Food Stall	True	Bolivia	N/A	True	1000.0	1000	434137	36	1000	lender	N/A	14.0	Food	defaulted	2.09677419355	3364.80645161	9.0	2012.0
6547	Retail	True	Mexico	N/A	False	82000.0	1825	434249	41	5800	lender	N/A	8.0	Retail	expired	2.31578947368	1656.34210526	9.0	N/A
6548	Animal Sales	True	Ecuador	N/A	False	500.0	500	434264	12	500	lender	500.0	7.0	Agriculture	paid	21.5454545455	2157.81818182	3.0	2012.0
6549	Motorcycle Transport	True	Philippines	N/A	False	10000.0	250	434385	9	250	lender	250.0	8.0	Transportation	paid	2.14285714286	4074.14285714	4.0	2012.0
6550	Dairy	False	Pakistan	N/A	False	165000.0	1775	434490	68	1775	lender	1775.0	13.0	Agriculture	paid	0.80701754386	118.0	11.0	2012.0
6551	Grocery Store	True	Peru	N/A	False	2000.0	600	434725	15	750	lender	N/A	8.0	Food	expired	1.46153846154	2007.0	6.0	N/A
6552	Agriculture	False	Nicaragua	N/A	True	35000.0	1500	434779	49	1500	lender	0.0	19.0	Agriculture	in_repayment	0.863636363636	1899.40909091	7.0	2012.0
6553	Farming	True	Philippines	N/A	False	20000.0	475	434852	18	475	lender	475.0	8.0	Agriculture	paid	0.888888888889	427.555555556	9.0	2012.0
6554	Food	True	Kenya	N/A	False	80000.0	950	435014	31	950	lender	950.0	14.0	Food	paid	1.2	225.32	8.0	2012.0
6555	Consumer Goods	True	Philippines	N/A	False	15000.0	350	435034	13	350	lender	350.0	8.0	Personal Use	paid	2.09090909091	3313.18181818	3.0	2012.0
6556	Food Market	True	Azerbaijan	N/A	False	1000.0	250	435037	10	1275	lender	N/A	14.0	Food	expired	0.5	1738.9	5.0	N/A
6557	Jewelry	False	Ghana	N/A	False	7700.0	0	435144	0	4075	lender	N/A	7.0	Retail	inactive_expired	N/A	N/A	N/A	N/A
6558	General Store	True	Ecuador	N/A	False	640.14	500	435291	16	650	lender	N/A	14.0	Retail	expired	2.26666666667	2804.46666667	6.0	N/A
6559	Home Products Sales	True	Ecuador	N/A	False	400.0	400	435323	16	400	lender	400.0	8.0	Retail	paid	14.375	5285.125	7.0	2012.0
6560	Agriculture	False	El Salvador	N/A	False	580.0	350	435384	9	600	lender	N/A	31.0	Agriculture	expired	4.5	4118.375	5.0	N/A
6561	Farming	True	Philippines	N/A	False	10000.0	250	435486	9	250	lender	250.0	8.0	Agriculture	paid	1.42857142857	4706.42857143	3.0	2012.0
6562	Used Clothing	True	Kenya	N/A	False	20000.0	250	435643	10	250	lender	250.0	8.0	Clothing	paid	1.11111111111	11120.3333333	6.0	2012.0
6563	Primary/secondary school costs	True	Peru	N/A	False	300.0	125	435692	5	125	lender	125.0	8.0	Education	paid	0.25	22.25	2.0	2012.0
6564	Retail	False	Nicaragua	N/A	False	26000.0	800	435738	19	1125	lender	N/A	14.0	Retail	expired	2.25	7955.875	5.0	N/A
6565	Bicycle Repair	False	Nicaragua	N/A	False	8700.0	375	435745	14	375	lender	375.0	13.0	Services	paid	0.357142857143	51.9285714286	9.0	2012.0
6566	Personal Housing Expenses	True	Peru	N/A	False	3000.0	1125	435816	33	1125	lender	1125.0	20.0	Housing	paid	1.54545454545	1134.39393939	12.0	2012.0
6567	Food Stall	True	El Salvador	N/A	False	200.0	200	435855	6	200	lender	200.0	12.0	Food	paid	3.0	633.333333333	1.0	2012.0
6568	Dairy	True	Kenya	N/A	False	52000.0	625	435905	22	625	lender	625.0	14.0	Agriculture	paid	0.333333333333	40.3888888889	8.0	2012.0
6569	Agriculture	True	Peru	N/A	False	3000.0	1125	435959	43	1125	lender	1125.0	7.0	Agriculture	paid	0.875	901.55	10.0	2012.0
6570	Agriculture	True	El Salvador	N/A	False	745.0	750	436005	29	750	lender	750.0	12.0	Agriculture	paid	3.0	1156.15384615	8.0	2012.0
6571	Agriculture	True	El Salvador	N/A	True	317.0	325	436029	12	325	lender	0.0	13.0	Agriculture	in_repayment	0.666666666667	618.916666667	6.0	2012.0
6572	Pigs	True	Philippines	N/A	False	10000.0	250	436103	9	250	lender	250.0	7.0	Agriculture	paid	1.22222222222	174.222222222	5.0	2012.0
6573	Fruits & Vegetables	True	El Salvador	N/A	False	400.0	400	436138	12	400	lender	400.0	20.0	Food	paid	1.58333333333	1351.25	3.0	2012.0
6574	Dairy	True	Georgia	N/A	False	2000.0	1225	436417	34	1225	lender	1225.0	14.0	Agriculture	paid	0.387096774194	390.161290323	10.0	2012.0
6575	Primary/secondary school costs	True	Mexico	N/A	False	5899.19	450	436509	14	450	lender	450.0	15.0	Education	paid	0.307692307692	720.461538462	6.0	2012.0
6576	Agriculture	True	Peru	N/A	False	2000.0	750	436546	26	750	lender	750.0	13.0	Agriculture	paid	0.791666666667	4321.875	5.0	2012.0
6577	Farming	True	Cambodia	N/A	False	2000000.0	500	436575	19	500	lender	500.0	14.0	Agriculture	paid	1.77777777778	1062.77777778	12.0	2012.0
6578	Personal Housing Expenses	True	Jordan	N/A	False	500.0	375	436634	12	725	lender	N/A	18.0	Housing	expired	2.45454545455	1961.36363636	4.0	N/A
6579	Tailoring	True	Kenya	N/A	False	15000.0	200	436685	5	200	lender	200.0	8.0	Services	paid	0.0	17.25	2.0	2012.0
6580	Pharmacy	True	Kenya	N/A	False	25000.0	300	436831	10	300	lender	300.0	14.0	Health	paid	0.444444444444	62.7777777778	5.0	2012.0
6581	Food Production/Sales	True	El Salvador	N/A	False	300.0	300	436870	10	300	lender	300.0	12.0	Food	paid	0.555555555556	568.333333333	5.0	2012.0
6582	Food Market	True	Rwanda	N/A	False	300000.0	525	436886	20	525	lender	525.0	6.0	Food	paid	1.0	801.294117647	7.0	2012.0
6583	General Store	True	Rwanda	N/A	False	600000.0	1025	436905	33	1025	lender	1025.0	6.0	Retail	paid	0.962962962963	407.074074074	9.0	2012.0
6584	Catering	True	Peru	N/A	False	500.0	200	436929	4	200	lender	200.0	6.0	Food	paid	0.0	63.75	3.0	2012.0
6585	Retail	True	Colombia	N/A	False	1070000.0	625	437007	21	625	lender	625.0	15.0	Retail	paid	1.63157894737	948.0	7.0	2012.0
6586	Rickshaw	True	Peru	N/A	True	2000.0	750	437056	12	750	lender	N/A	14.0	Transportation	defaulted	2.75	1126.33333333	4.0	2012.0
6587	Fruits & Vegetables	True	Peru	N/A	False	2500.0	950	437077	34	950	lender	950.0	14.0	Food	paid	2.75	606.285714286	6.0	2012.0
6588	Motorcycle Transport	True	Philippines	N/A	False	8000.0	200	437112	5	200	lender	200.0	6.0	Transportation	paid	1.0	894.8	4.0	2012.0
6589	Fruits & Vegetables	True	Philippines	N/A	False	15000.0	350	437206	13	350	lender	350.0	8.0	Food	paid	3.25	7543.83333333	5.0	2012.0
6590	Cafe	True	Vietnam	N/A	False	15000000.0	725	437243	25	725	lender	725.0	11.0	Food	paid	0.0416666666667	252.75	10.0	2012.0
6591	Retail	False	Nicaragua	N/A	False	27000.0	525	437443	17	1150	lender	N/A	14.0	Retail	expired	3.0	1558.0	2.0	N/A
6592	Farm Supplies	True	El Salvador	N/A	False	400.0	400	437564	15	400	lender	400.0	14.0	Agriculture	paid	0.285714285714	226.5	6.0	2012.0
6593	Property	True	Mexico	N/A	False	7704.07	575	437598	21	575	lender	575.0	15.0	Housing	paid	1.0	931.85	5.0	2012.0
6594	Restaurant	True	Philippines	N/A	False	28000.0	675	437688	24	675	lender	675.0	8.0	Food	paid	4.85	1184.25	8.0	2012.0
6595	Farming	True	Philippines	N/A	False	35000.0	825	437701	33	825	lender	825.0	7.0	Agriculture	paid	1.16666666667	899.333333333	8.0	2012.0
6596	General Store	True	Philippines	N/A	True	10000.0	250	437711	9	250	lender	212.5	11.0	Retail	in_repayment	1.5	11080.625	5.0	2012.0
6597	Agriculture	False	Rwanda	N/A	False	500000.0	850	437856	29	850	lender	850.0	8.0	Agriculture	paid	1.56	3791.16	8.0	2012.0
6598	Transportation	False	Kosovo	N/A	False	1500.0	1900	437862	73	1900	lender	1900.0	22.0	Transportation	paid	8.61111111111	2348.77777778	16.0	2012.0
6599	Grocery Store	False	Mozambique	0.19	True	15000.0	550	437986	19	550	lender	372.63	21.0	Food	in_repayment	2.47058823529	6083.05882353	8.0	2012.0
6600	Retail	True	Peru	N/A	False	1000.0	1000	438115	35	1000	lender	1000.0	8.0	Retail	paid	3.48484848485	668.575757576	10.0	2012.0
6601	General Store	True	Philippines	N/A	False	19000.0	450	438296	11	450	lender	450.0	8.0	Retail	paid	1.4	2462.8	7.0	2012.0
6602	Farming	True	Philippines	N/A	False	20000.0	475	438299	19	475	lender	475.0	8.0	Agriculture	paid	2.35294117647	534.882352941	8.0	2012.0
6603	Agriculture	True	Philippines	N/A	False	29500.0	700	438395	27	700	lender	700.0	5.0	Agriculture	paid	1.76923076923	1154.61538462	9.0	2012.0
6604	Electrical Goods	False	Pakistan	N/A	False	165000.0	1750	438476	46	1750	lender	1750.0	13.0	Retail	paid	2.16666666667	2909.61904762	16.0	2012.0
6605	Weaving	False	Peru	N/A	False	2650.0	2650	438567	87	2650	lender	2650.0	8.0	Arts	paid	2.1875	2023.15	17.0	2012.0
6606	Animal Sales	False	Peru	N/A	False	4000.0	1500	438691	49	1500	lender	1500.0	7.0	Agriculture	paid	0.630434782609	1955.76086957	18.0	2012.0
6607	Transportation	True	Peru	N/A	False	1500.0	575	438743	21	575	lender	575.0	14.0	Transportation	paid	1.95	86.5	7.0	2012.0
6608	Computers	True	Peru	N/A	False	4000.0	1500	438756	47	1500	lender	1500.0	8.0	Services	paid	1.7380952381	342.19047619	14.0	2012.0
6609	Agriculture	True	Cambodia	N/A	False	4800000.0	1175	438817	40	1175	lender	1175.0	14.0	Agriculture	paid	1.48648648649	2766.59459459	11.0	2012.0
6610	Retail	True	Yemen	N/A	False	180000.0	850	438838	30	850	lender	850.0	12.0	Retail	paid	3.06666666667	2675.33333333	6.0	2012.0
6611	General Store	True	Philippines	N/A	False	15000.0	375	438972	15	375	lender	375.0	6.0	Retail	paid	1.07142857143	1470.57142857	4.0	2012.0
6612	Clothing	True	Kenya	N/A	False	65000.0	775	439040	30	775	lender	775.0	14.0	Clothing	paid	2.06666666667	1360.0	11.0	2012.0
6613	Motorcycle Transport	True	Uganda	N/A	False	500000.0	225	439231	6	225	lender	225.0	8.0	Transportation	paid	0.5	13134.3333333	5.0	2012.0
6614	Transportation	False	Albania	N/A	False	60000.0	550	439248	17	550	lender	550.0	14.0	Transportation	paid	1.0	630.4375	10.0	2012.0
6615	Grocery Store	True	Togo	N/A	False	450000.0	875	439370	27	875	lender	875.0	14.0	Food	paid	1.66666666667	1580.7037037	9.0	2012.0
6616	Fish Selling	True	Togo	N/A	False	200000.0	400	439371	15	400	lender	400.0	15.0	Food	paid	0.769230769231	1217.0	6.0	2012.0
6617	Natural Medicines	True	Sierra Leone	N/A	False	2500000.0	600	439411	22	600	lender	600.0	10.0	Health	paid	1.09523809524	3820.85714286	7.0	2012.0
6618	Metal Shop	True	Ecuador	N/A	False	800.0	800	439550	32	800	lender	800.0	6.0	Manufacturing	paid	1.83333333333	3290.4	7.0	2012.0
6619	Shoe Sales	False	Nicaragua	N/A	False	14000.0	600	439552	23	600	lender	600.0	6.0	Retail	paid	3.40909090909	1068.04545455	8.0	2012.0
6620	Livestock	True	Tajikistan	N/A	False	7500.0	1325	439825	18	1575	lender	N/A	10.0	Agriculture	expired	2.64705882353	1978.11764706	5.0	N/A
6621	Fruits & Vegetables	False	Ghana	N/A	False	425.0	225	439878	8	225	lender	225.0	6.0	Food	paid	0.333333333333	785.166666667	2.0	2012.0
6622	Retail	True	Paraguay	N/A	False	8872223.0	2000	440022	41	2000	lender	2000.0	8.0	Retail	paid	2.51282051282	3909.79487179	9.0	2012.0
6623	Poultry	True	Ecuador	N/A	False	1000.0	1000	440141	37	1000	lender	1000.0	14.0	Agriculture	paid	0.617647058824	3721.58823529	10.0	2012.0
6624	Clothing	False	Mali	N/A	False	350000.0	0	440169	0	675	lender	N/A	8.0	Clothing	inactive_expired	N/A	N/A	N/A	N/A
6625	Bakery	True	Colombia	N/A	False	600000.0	350	440231	13	350	lender	350.0	14.0	Food	paid	1.16666666667	146.333333333	4.0	2012.0
6626	Flowers	True	Philippines	N/A	False	10000.0	250	440323	10	250	lender	250.0	6.0	Agriculture	paid	0.777777777778	1142.0	6.0	2012.0
6627	Food Stall	True	Vietnam	N/A	False	15000000.0	725	440337	26	725	lender	725.0	11.0	Food	paid	0.96	604.32	9.0	2012.0
6628	Dairy	False	Pakistan	N/A	False	155000.0	1675	440438	53	1675	lender	1675.0	13.0	Agriculture	paid	4.76086956522	447.02173913	9.0	2012.0
6629	Retail	True	Uganda	N/A	False	1000000.0	325	440525	12	425	lender	N/A	10.0	Retail	expired	4.1	12833.3	3.0	N/A
6630	General Store	True	Rwanda	N/A	False	300000.0	525	440613	18	525	lender	525.0	6.0	Retail	paid	1.05555555556	235.111111111	4.0	2012.0
6631	Food Production/Sales	True	Philippines	N/A	False	19000.0	475	440955	18	475	lender	475.0	8.0	Food	paid	0.823529411765	1316.41176471	5.0	2012.0
6632	General Store	True	Philippines	N/A	False	30000.0	725	440967	25	725	lender	725.0	8.0	Retail	paid	3.24	2366.4	8.0	2012.0
6633	Milk Sales	True	Jordan	N/A	False	600.0	0	441073	0	850	lender	N/A	18.0	Food	inactive_expired	N/A	N/A	N/A	N/A
6634	Retail	True	Philippines	N/A	False	30000.0	725	441095	27	725	lender	725.0	7.0	Retail	paid	2.19047619048	1434.04761905	6.0	2012.0
6635	Call Center	True	Cameroon	N/A	False	200000.0	400	441190	13	400	lender	400.0	15.0	Services	paid	3.08333333333	1546.83333333	8.0	2012.0
6636	Beauty Salon	False	Ghana	N/A	False	500.0	275	441208	11	275	lender	275.0	6.0	Services	paid	1.63636363636	1935.18181818	3.0	2012.0
6637	Food Production/Sales	True	Tajikistan	N/A	False	2500.0	525	441233	21	525	lender	525.0	12.0	Food	paid	0.631578947368	186.0	7.0	2012.0
6638	Taxi	False	Kenya	N/A	False	83500.0	350	441315	14	1000	lender	N/A	14.0	Transportation	expired	2.85714285714	3465.85714286	6.0	N/A
6639	Animal Sales	True	Peru	N/A	False	1500.0	575	441513	20	575	lender	575.0	8.0	Agriculture	paid	0.444444444444	471.722222222	6.0	2012.0
6640	Recycled Materials	True	Philippines	N/A	False	50000.0	1200	441695	47	1200	lender	1200.0	8.0	Retail	paid	2.35555555556	1534.42222222	11.0	2012.0
6641	Vehicle	True	Cambodia	N/A	False	900.0	900	441727	33	900	lender	900.0	14.0	Personal Use	paid	1.34482758621	998.206896552	10.0	2012.0
6642	Farm Supplies	True	Kenya	N/A	False	40000.0	500	441907	14	500	lender	500.0	14.0	Agriculture	paid	0.692307692308	833.0	5.0	2012.0
6643	Restaurant	True	Kenya	N/A	True	97000.0	1175	441958	35	1175	lender	915.9	13.0	Food	in_repayment	1.51515151515	506.666666667	11.0	2012.0
6644	Clothing Sales	True	Kenya	N/A	False	20000.0	250	441971	7	250	lender	250.0	8.0	Clothing	paid	0.666666666667	456.833333333	2.0	2012.0
6645	Soft Drinks	True	Ecuador	N/A	False	1651.54	1675	442072	34	1675	lender	1675.0	14.0	Food	paid	0.733333333333	1611.33333333	7.0	2012.0
6646	Clothing Sales	True	Honduras	N/A	False	7000.0	375	442212	13	375	lender	375.0	15.0	Clothing	paid	0.538461538462	7344.23076923	4.0	2012.0
6647	Food Market	True	Paraguay	N/A	False	8110233.0	1800	442302	51	1800	lender	1800.0	9.0	Food	paid	7.25	2086.02272727	11.0	2012.0
6648	Food Production/Sales	True	Philippines	N/A	False	25000.0	600	442464	4	600	lender	600.0	12.0	Food	paid	0.25	88.25	2.0	2012.0
6649	Clothing Sales	True	Kenya	N/A	False	10000.0	125	442655	4	125	lender	125.0	12.0	Clothing	paid	0.25	54.25	1.0	2012.0
6650	Taxi	True	Tajikistan	N/A	False	600.0	600	442664	17	600	lender	600.0	12.0	Transportation	paid	0.9375	6845.25	3.0	2012.0
6651	Farming	True	Azerbaijan	N/A	False	1000.0	1275	442671	45	1275	lender	1275.0	14.0	Agriculture	paid	580.317073171	1136.19512195	11.0	2012.0
6652	Higher education costs	False	South Africa	12.42	True	17250.0	2050	442694	78	2050	lender	249.03	59.0	Education	in_repayment	2.82432432432	1789.22972973	15.0	2012.0
6653	Personal Housing Expenses	True	Jordan	N/A	False	500.0	725	442727	19	725	lender	725.0	16.0	Housing	paid	1399.38888889	803.444444444	4.0	2012.0
6654	Cafe	True	Dominican Republic	N/A	False	15900.0	425	442735	15	425	lender	425.0	14.0	Food	paid	0.785714285714	241.642857143	8.0	2012.0
6655	Dairy	True	Georgia	N/A	False	2000.0	1225	442772	43	1225	lender	1225.0	14.0	Agriculture	paid	1.62162162162	115.0	5.0	2012.0
6656	Clothing Sales	False	Sierra Leone	N/A	False	4000000.0	925	442804	29	925	lender	925.0	12.0	Clothing	paid	1.5	772.846153846	9.0	2012.0
6657	Clothing Sales	True	Peru	N/A	False	16400.0	6200	442844	179	6200	lender	6200.0	6.0	Clothing	paid	1.01935483871	864.722580645	19.0	2012.0
6658	Photography	True	Ecuador	N/A	False	1557.03	1575	442890	49	1575	lender	1575.0	15.0	Services	paid	2.23913043478	2780.06521739	13.0	2012.0
6659	Liquor Store / Off-License	True	Peru	N/A	False	1800.0	700	442919	19	700	lender	700.0	14.0	Food	paid	0.842105263158	216.315789474	7.0	2012.0
6660	Beauty Salon	True	Kenya	N/A	False	10000.0	125	443042	5	125	lender	125.0	8.0	Services	paid	1.6	3654.8	3.0	2012.0
6661	Retail	True	Rwanda	0.22	True	1200000.0	2025	443051	56	2025	lender	1030.94	10.0	Retail	in_repayment	1.70588235294	1222.96078431	12.0	2012.0
6662	Home Products Sales	True	Rwanda	N/A	False	400000.0	675	443067	25	675	lender	675.0	8.0	Retail	paid	0.92	652.2	7.0	2012.0
6663	Poultry	False	Uganda	N/A	False	1000000.0	425	443133	12	425	lender	425.0	7.0	Agriculture	paid	0.454545454545	51.3636363636	5.0	2012.0
6664	Construction Supplies	True	Uganda	N/A	False	2000000.0	825	443146	20	825	lender	825.0	14.0	Construction	paid	1.5	612.3	8.0	2012.0
6665	Retail	True	Kenya	N/A	False	20000.0	250	443172	7	250	lender	250.0	8.0	Retail	paid	2.83333333333	195.833333333	3.0	2012.0
6666	Cloth & Dressmaking Supplies	False	Senegal	N/A	False	400000.0	775	443228	30	775	lender	775.0	15.0	Retail	paid	1.96428571429	4201.53571429	9.0	2012.0
6667	Farming	True	Uganda	N/A	False	3300000.0	1350	443358	29	1350	lender	1350.0	6.0	Agriculture	paid	1.80769230769	1777.15384615	7.0	2012.0
6668	Fruits & Vegetables	True	Paraguay	N/A	False	16192780.0	3525	443425	62	3525	lender	3525.0	6.0	Food	paid	3.18181818182	2548.21818182	13.0	2012.0
6669	Personal Housing Expenses	True	Mexico	N/A	False	4644.22	350	443470	14	350	lender	350.0	15.0	Housing	paid	1.76923076923	984.0	6.0	2012.0
6670	General Store	True	Philippines	N/A	False	10000.0	250	443549	10	250	lender	250.0	8.0	Retail	paid	1.22222222222	4378.55555556	5.0	2012.0
6671	Fish Selling	True	Philippines	N/A	True	18000.0	425	443552	16	425	lender	340.0	11.0	Food	in_repayment	1.0625	282.25	8.0	2012.0
6672	Fishing	True	Philippines	N/A	True	10000.0	250	443565	10	250	lender	200.0	11.0	Food	in_repayment	0.888888888889	11925.7777778	3.0	2012.0
6673	Personal Housing Expenses	False	Mongolia	96.6	False	4000000.0	3025	443695	100	3025	lender	1995.67	26.0	Housing	in_repayment	2.25	1625.5326087	17.0	2012.0
6674	Pigs	True	Philippines	N/A	False	15000.0	375	443731	15	375	lender	375.0	8.0	Agriculture	paid	1.66666666667	424.933333333	6.0	2012.0
6675	Food Production/Sales	True	El Salvador	N/A	False	400.0	400	444060	11	400	lender	400.0	14.0	Food	paid	2.45454545455	8073.63636364	6.0	2012.0
6676	Poultry	False	Nepal	N/A	False	15000.0	175	444072	6	175	lender	175.0	14.0	Agriculture	paid	2.5	441.166666667	3.0	2012.0
6677	Bakery	True	Peru	N/A	False	500.0	200	444103	8	200	lender	200.0	14.0	Food	paid	2.85714285714	184.714285714	6.0	2012.0
6678	General Store	True	Philippines	N/A	False	16000.0	400	444323	16	400	lender	400.0	11.0	Retail	paid	1.71428571429	1640.57142857	6.0	2012.0
6679	General Store	True	Philippines	N/A	False	5000.0	125	444372	4	125	lender	125.0	7.0	Retail	paid	1.0	6480.0	1.0	2012.0
6680	Farming	True	Georgia	N/A	False	1500.0	925	444403	36	925	lender	925.0	8.0	Agriculture	paid	1.84848484848	1139.75757576	11.0	2012.0
6681	Clothing Sales	True	Tajikistan	N/A	True	5000.0	1050	444426	38	1050	lender	724.48	14.0	Clothing	in_repayment	0.944444444444	5610.16666667	9.0	2012.0
6682	General Store	True	Philippines	N/A	True	12000.0	300	444444	4	300	lender	240.0	11.0	Retail	in_repayment	3.5	4370.25	3.0	2012.0
